"광녕",95
"광령",16
"광명",13
"광산",10
"광영",105
"광주",109
"구로",11
"근성",15
"금성",20
"기주",6
"김포",26
"김해",92
"나주",111
"남양",23
"남원",68
"남평",6
"남해",7
"단성",22
"단양",78
"달성",13
"담양",5
"대구",17
"대전",22
"동래",10
"마재",15
"모성",34
"무안",8
"무장",9
"문산",7
"문성",31
"밀양",69
"백두",9
"백주",10
"봉주",5
"부산",6
"불상",26
"상읍",12
"상주",26
"선천",18
"성남",8
"수원",25
"순주",5
"순천",16
"시흥",6
"신천",7
"안동",2279
"안산",12
"안양",7
"안의",14
"안주",28
"양주",12
"여산",5
"여주",9
"여흥",11
"연산",68
"연안",33
"연일",25
"연주",71
"연천",9
"영광",6
"영등포",5
"영양",10
"영월",65
"영일",19
"영주",79
"영천",44
"영흥",8
"온양",25
"용궁",10
"용담",446
"용인",7
"용택",69
"울산",44
"원주",10
"원택",22
"월성",18
"음성",8
"의령",43
"인동",13
"인천",25
"임성",10
"임실",55
"자흥",12
"장계",22
"장광",7
"장기",5
"장담",135
"장문",33
"장봉",90
"장성",104
"장수",41
"장안",36
"장옥",6
"장진",165
"장탁",6
"장태",8
"장택",38539
"장학",8
"장항",8
"장흥",75517
"재주",7
"전주",104
"정선",64
"정주",19
"제도",7
"제주",310542
"제천",50
"죽산",5
"진주",442
"진택",15
"진흥",14
"창녕",252
"창영",5
"창원",40
"창택",9
"창평",903
"청도",15
"청송",15
"청주",6300
"청평",20
"춘정",16
"충주",41
"취화",11
"칠원",33
"탐나",6
"탐라",237
"파주",10
"파평",7
"평산",34
"평창",10
"평택",90
"평해",8
"표흥",12
"풍덕",22
"하동",6
"한양",155
"함안",19
"함평",21
"해주",324
"현풍",15
"형택",9
"홍성",65
"화성",7
"횡성",9996
"흥덕",17
"흥성",54
"흥해",30
"기타",2521
"곡(曲)",89
"곡부",5
"한양",8
"기타",76
"곡(谷)",12
"기타",12
"공(公)",471
"김보",9
"김포",426
"김해",7
"벽동",5
"기타",24
"공(孔)",91869
"거주",13
"경주",6
"고구",14
"고부",464
"곡고",5
"곡구",68
"곡보",74
"곡본",5
"곡부",89331
"곡비",20
"곡성",16
"곡장",6
"곡재",11
"곡준",81
"곡초",16
"곡추",11
"곡탁",36
"궁월",14
"김포",6
"김해",20
"남원",10
"대구",8
"대전",8
"만주",8
"모감",8
"목감",6
"문화",9
"밀양",14
"복곡",5
"부곡",14
"부구",10
"북극",6
"불상",12
"산동",8
"소성",22
"수원",52
"순천",9
"신월",8
"안동",15
"안주",6
"연안",15
"연일",5
"옥천",6
"온양",8
"완산",11
"우부",6
"이산",21
"인천",24
"전부",41
"전주",30
"전평",11
"제주",19
"조부",7
"진남",15
"진주",7
"창녕",19
"창부",15
"창원",276
"청령",13
"청영",5
"청주",7
"태원",15
"파평",9
"평산",26
"평창",5
"풍부",12
"하동",16
"한양",19
"함열",42
"해주",31
"기타",678
"곽(廓)",171
"선산",5
"청주",15
"현풍",139
"기타",12
"곽(槨)",6
"현풍",5
"기타",1
"곽(郭)",203188
"강릉",119
"경주",33
"고창",7
"광산",12
"구산",11
"김해",26
"나주",18
"남안",9
"달성",5
"대구",7
"동래",18
"모풍",6
"무계",9
"무산",7
"문봉",6
"밀양",49
"봉산",6
"불상",9
"서산",16
"서원",8
"서흥",24
"선산",8325
"선천",5
"선풍",52
"성남",5
"성산",14
"성풍",5
"소례",7
"수원",6
"숙천",13
"순천",22
"순풍",9
"순흥",11
"신풍",19
"안동",13
"안산",5
"여산",6
"연안",5
"연풍",10
"오산",7
"완산",14
"울산",17
"의성",9
"인동",8
"인천",17
"장연",10
"전주",73
"정풍",14
"제주",84
"진주",8
"창양",14
"창주",8
"청봉",10
"청주",20713
"청풍",354
"충주",29
"파산",5
"파평",6
"포산",1166
"풍현",8
"한양",75
"함평",13
"함풍",34
"해남",16
"해미",3025
"해주",5
"해평",10
"헌풍",13
"현강",7
"현덕",7
"현동",10
"현봉",672
"현풍",166608
"형풍",17
"홍주",11
"환성",8
"기타",1146
"관(管)",5
"기타",5
"관(關)",15
"기타",15
"교(喬)",10
"기타",10
"교(橋)",16
"진주",11
"기타",5
"구(丘)",15382
"능성",11
"평양",5
"평해",15297
"기타",69
"구(仇)",5
"기타",5
"구(具)",193080
"강릉",57
"개성",10
"결성",492
"경산",6
"경주",120
"곡부",8
"광산",15
"광주",42
"교성",6
"교주",6
"궁도",13
"기성",7
"김해",16
"나주",44
"노산",8
"농성",10
"능경",7
"능곡",9
"능단",31
"능본",6
"능산",38
"능선",13
"능성",108209
"능원",33
"능주",62574
"능천",140
"달성",104
"담양",9
"대구",37
"대전",6
"덕성",15
"릉성",1460
"릉주",458
"명주",12
"문성",5
"문화",5
"밀양",53
"상주",16
"서성",28
"속성",30
"속주",7
"송산",8
"송원",10
"수성",65
"수원",6
"순흥",35
"승주",18
"안의",7
"여주",5
"영산",38
"영주",9
"영해",8
"완성",7
"완주",21
"우주",6
"원주",9
"월성",7
"육성",64
"육주",16
"융송",11
"음성",19
"의성",31
"인동",21
"인천",5
"장수",23
"적성",29
"전주",34
"정선",34
"준주",8
"증산",12
"지례",17
"지예",7
"진산",14
"진양",6
"진주",19
"창녕",114
"창영",15
"창원",13339
"청성",10
"청주",105
"파주",20
"평산",11
"평양",19
"평해",568
"풍양",6
"피주",7
"한양",60
"합천",25
"해산",32
"해주",51
"화동",5
"화순",11
"황주",6
"회산",2762
"기타",1120
"구(邱)",83
"은진",69
"기타",14
"국(國)",37
"담양",23
"기타",14
"국(菊)",43
"담양",35
"기타",8
"국(鞠)",20547
"고산",208
"괴산",8
"김해",15
"남양",6
"남원",8
"단양",81
"담양",19089
"대명",22
"밀양",17
"안양",5
"영광",11
"온양",12
"은성",5
"의령",6
"추성",843
"충주",6
"택양",53
"한양",23
"회덕",27
"기타",102
"국(鞫)",124
"담양",113
"추성",7
"기타",4
"국(麴)",17
"담양",14
"기타",3
"궁(宮)",15
"기타",15
"궁(弓)",557
"개천",15
"괴산",9
"동림",8
"면산",86
"어산",8
"토산",398
"토성",6
"기타",27
"궉(?)",183
"보령",45
"창녕",17
"청주",119
"기타",2
"권(?)",11
"안동",11
"권(券)",10
"안동",10
"권(勸)",250
"안동",245
"기타",5
"권(權)",705941
"강릉",50
"경성",17
"경주",87
"고성",14
"광산",27
"광주",5
"구로",9
"김해",60
"나주",6
"남양",21
"남평",5
"단성",103
"단양",8
"달성",22
"담양",7
"대구",13
"대전",26
"덕산",27
"동래",57
"밀양",55
"보성",9
"부산",7
"불상",16
"삼척",5
"서령",18
"성남",7
"수원",27
"순창",14
"신녕",12
"신령",5
"안강",8
"안동",696317
"안산",12
"안성",7
"안양",5
"안원",7
"양산",6
"양양",94
"여산",6
"연일",8
"영해",10
"예천",4531
"오산",29
"용인",6
"원주",6
"월성",38
"의령",9
"의성",15
"이천",17
"인동",69
"인천",7
"장수",19
"전주",89
"제주",13
"진성",6
"진주",58
"창녕",15
"천안",12
"청송",5
"청주",13
"청풍",6
"충주",27
"파평",6
"평산",8
"평택",7
"평해",26
"풍양",8
"풍천",53
"하동",89
"한양",192
"함안",5
"해동",17
"해주",25
"화성",14
"기타",3282
"근(斤)",170
"청주",170
"금(琴)",25432
"금산",7
"남원",6
"보성",20
"보은",9
"봉산",9
"봉성",1770
"봉원",9
"봉하",17
"봉학",19
"봉화",23301
"안동",59
"영양",11
"춘화",5
"칠곡",5
"태화",11
"회령",5
"기타",169
"금(禁)",7
"봉화",7
"금(芩)",8
"봉화",8
"금(金)",25
"금녕",11
"기타",14
"기(奇)",28829
"강릉",17
"개성",37
"고양",103
"고주",17
"길주",9
"김해",33
"나주",33
"반주",5
"백천",12
"불상",7
"선산",6
"성주",19
"신주",351
"양주",20
"장성",112
"장수",10
"조양",21
"진주",24
"청주",159
"춘천",30
"충주",40
"평양",18
"하주",7
"항주",7
"해주",28
"행단",5
"행산",15
"행주",27379
"행천",39
"향주",56
"화주",8
"횡주",11
"기타",191
"기(寄)",167
"행주",154
"기타",13
"기(箕)",56
"평양",25
"행주",28
"기타",3
"기(紀)",10
"기타",10
"길(吉)",38173
"강진",6
"개성",18
"경주",28
"곡산",5
"광산",31
"금강",7
"금산",398
"길본",11
"길산",7
"길주",36
"김해",87
"남원",8
"단양",5
"당산",7
"명천",9
"밀양",18
"보산",9
"분성",14
"불상",13
"산성",5
"상주",44
"상평",6
"서산",87
"선산",13636
"성산",164
"성양",5
"성주",19
"수원",7
"순산",13
"승산",30
"신천",7
"안동",94
"안주",35
"연안",7
"영변",24
"영주",10
"일선",84
"전주",9
"정산",34
"정주",41
"청평",5
"춘천",6
"태평",13
"파평",76
"평산",13
"평창",24
"평해",118
"한양",13
"함양",28
"함평",47
"해남",13
"해주",134
"해천",7
"해평",22187
"해풍",33
"행주",30
"희산",7
"기타",341
"김(金)",10689959
"가산",11
"가평",38
"간성",164
"간소",22
"감포",17
"강남",82
"강능",5205
"강덕",13
"강동",276
"강륙",35
"강률",8
"강릉",179593
"강부",5
"강산",70
"강서",378
"강선",7
"강성",24
"강악",13
"강양",70
"강운",5
"강원",11
"강육",19
"강율",37
"강음",246
"강주",6
"강진",4845
"강학",9
"강함",9
"강화",1861
"강흠",5
"개녕",64
"개령",227
"개성",22793
"개소",109
"개영",41
"개용",7
"개풍",13
"거제",28
"거창",36
"검주",7
"결성",429
"경광",58
"경남",18
"경산",559
"경성",874
"경악",23
"경암",10
"경양",8
"경자",9
"경주",1800853
"경천",86
"계남",6
"계룡",17
"계림",734
"계산",5
"계양",8
"고경",57
"고려",15
"고령",15611
"고부",16
"고분",8
"고산",661
"고성",13735
"고양",290
"고영",51
"고창",20
"고하",9
"고흥",67
"곡부",8
"곡산",18
"곡성",56
"곤양",16
"공광",10
"공구",6
"공산",92
"공주",7589
"공천",13
"과천",14
"관산",51
"관양",8
"괄의",7
"광금",13
"광덕",14
"광릉",52
"광명",50
"광산",926316
"광서",23
"광선",14
"광성",96
"광양",576
"광음",8
"광자",5
"광장",5
"광정",12
"광주",28156
"광진",24
"광천",44
"광하",7
"광해",27
"괴산",37
"교동",14
"교아",5
"교하",1268
"교화",74
"구례",91
"구로",110
"구룡",5
"구리",10
"구미",14
"구산",16
"구성",20
"군산",34
"군위",7
"군포",61
"권선",51
"귀일",67
"근안",25
"근일",6
"금강",55
"금계",31
"금곡",22
"금광",41
"금구",6
"금기",5
"금남",31
"금녕",287701
"금능",185
"금동",6
"금란",5
"금령",4794
